[M::mm_idx_gen::25.239*0.98] collected minimizers
[M::mm_idx_gen::34.670*0.99] sorted minimizers
[M::main::34.672*0.99] loaded/built the index for 13665 target sequence(s)
[M::mm_mapopt_update::34.672*0.99] mid_occ = 1000
[M::worker_pipeline::135.814*0.96] mapped 517175 sequences
[M::worker_pipeline::137.615*0.96] mapped 516626 sequences
[M::worker_pipeline::139.465*0.96] mapped 512285 sequences
[M::worker_pipeline::141.215*0.96] mapped 514558 sequences
[M::worker_pipeline::142.967*0.96] mapped 514453 sequences
[M::worker_pipeline::144.844*0.96] mapped 522773 sequences
[M::worker_pipeline::146.731*0.96] mapped 524892 sequences
[M::worker_pipeline::148.580*0.96] mapped 524171 sequences
[M::worker_pipeline::150.453*0.96] mapped 523771 sequences
[M::worker_pipeline::152.333*0.96] mapped 524191 sequences
[M::worker_pipeline::154.191*0.96] mapped 522525 sequences
[M::worker_pipeline::156.042*0.96] mapped 522521 sequences
[M::worker_pipeline::157.870*0.96] mapped 522630 sequences
[M::worker_pipeline::159.685*0.96] mapped 524005 sequences
[M::worker_pipeline::161.497*0.96] mapped 521085 sequences
[M::worker_pipeline::163.333*0.96] mapped 520910 sequences
[M::worker_pipeline::165.198*0.96] mapped 519336 sequences
[M::worker_pipeline::167.011*0.96] mapped 519339 sequences
[M::worker_pipeline::168.822*0.96] mapped 520904 sequences
[M::worker_pipeline::170.660*0.96] mapped 518758 sequences
[M::worker_pipeline::172.433*0.96] mapped 518963 sequences
[M::worker_pipeline::174.222*0.96] mapped 517384 sequences
[M::worker_pipeline::176.150*0.96] mapped 515835 sequences
[M::worker_pipeline::177.925*0.96] mapped 516020 sequences
[M::worker_pipeline::179.731*0.96] mapped 515885 sequences
[M::worker_pipeline::181.487*0.96] mapped 515151 sequences
[M::worker_pipeline::183.273*0.96] mapped 511306 sequences
[M::worker_pipeline::185.047*0.96] mapped 511181 sequences
[M::worker_pipeline::186.907*0.96] mapped 513071 sequences
[M::worker_pipeline::188.697*0.96] mapped 513406 sequences
[M::worker_pipeline::190.482*0.96] mapped 513506 sequences
[M::worker_pipeline::192.264*0.96] mapped 514838 sequences
[M::worker_pipeline::194.023*0.96] mapped 514015 sequences
[M::worker_pipeline::195.814*0.96] mapped 516035 sequences
[M::worker_pipeline::197.573*0.96] mapped 515627 sequences
[M::worker_pipeline::199.342*0.96] mapped 513680 sequences
[M::worker_pipeline::201.114*0.96] mapped 512613 sequences
[M::worker_pipeline::202.995*0.96] mapped 512413 sequences
[M::worker_pipeline::204.764*0.96] mapped 512565 sequences
[M::worker_pipeline::206.697*0.96] mapped 514304 sequences
[M::worker_pipeline::208.452*0.96] mapped 514293 sequences
[M::worker_pipeline::210.221*0.96] mapped 515677 sequences
[M::worker_pipeline::211.960*0.96] mapped 515129 sequences
[M::worker_pipeline::213.741*0.96] mapped 512925 sequences
[M::worker_pipeline::215.519*0.96] mapped 512000 sequences
[M::worker_pipeline::217.265*0.96] mapped 512111 sequences
[M::worker_pipeline::219.047*0.96] mapped 514203 sequences
[M::worker_pipeline::220.816*0.96] mapped 516644 sequences
[M::worker_pipeline::222.560*0.96] mapped 515026 sequences
[M::worker_pipeline::224.285*0.96] mapped 513645 sequences
[M::worker_pipeline::226.045*0.96] mapped 512205 sequences
[M::worker_pipeline::227.847*0.96] mapped 511854 sequences
[M::worker_pipeline::229.596*0.96] mapped 511662 sequences
[M::worker_pipeline::231.348*0.96] mapped 510857 sequences
[M::worker_pipeline::233.105*0.96] mapped 511692 sequences
[M::worker_pipeline::234.872*0.96] mapped 512698 sequences
[M::worker_pipeline::236.619*0.96] mapped 513994 sequences
[M::worker_pipeline::238.417*0.96] mapped 522350 sequences
[M::worker_pipeline::240.192*0.96] mapped 520541 sequences
[M::worker_pipeline::241.975*0.96] mapped 523538 sequences
[M::worker_pipeline::243.715*0.96] mapped 522006 sequences
[M::worker_pipeline::245.565*0.96] mapped 522388 sequences
[M::worker_pipeline::247.371*0.96] mapped 520570 sequences
[M::worker_pipeline::249.153*0.96] mapped 519942 sequences
[M::worker_pipeline::250.937*0.96] mapped 519018 sequences
[M::worker_pipeline::252.712*0.96] mapped 519848 sequences
[M::worker_pipeline::254.538*0.96] mapped 519865 sequences
[M::worker_pipeline::256.320*0.96] mapped 517347 sequences
[M::worker_pipeline::258.133*0.96] mapped 517457 sequences
[M::worker_pipeline::259.902*0.96] mapped 518357 sequences
[M::worker_pipeline::261.746*0.96] mapped 519603 sequences
[M::worker_pipeline::263.523*0.96] mapped 517038 sequences
[M::worker_pipeline::265.321*0.96] mapped 516895 sequences
[M::worker_pipeline::267.097*0.96] mapped 515185 sequences
[M::worker_pipeline::268.866*0.96] mapped 515621 sequences
[M::worker_pipeline::270.649*0.96] mapped 515966 sequences
[M::worker_pipeline::272.400*0.96] mapped 515519 sequences
[M::worker_pipeline::274.208*0.96] mapped 515328 sequences
[M::worker_pipeline::275.972*0.96] mapped 514222 sequences
[M::worker_pipeline::277.802*0.96] mapped 512706 sequences
[M::worker_pipeline::279.655*0.96] mapped 512636 sequences
[M::worker_pipeline::281.434*0.96] mapped 512361 sequences
[M::worker_pipeline::283.191*0.96] mapped 512540 sequences
[M::worker_pipeline::284.935*0.96] mapped 511340 sequences
[M::worker_pipeline::286.711*0.96] mapped 509705 sequences
[M::worker_pipeline::288.451*0.96] mapped 510197 sequences
[M::worker_pipeline::290.226*0.97] mapped 510998 sequences
[M::worker_pipeline::292.073*0.96] mapped 511019 sequences
[M::worker_pipeline::293.834*0.96] mapped 512217 sequences
[M::worker_pipeline::295.576*0.97] mapped 512546 sequences
[M::worker_pipeline::297.312*0.97] mapped 512991 sequences
[M::worker_pipeline::299.148*0.96] mapped 515089 sequences
[M::worker_pipeline::300.876*0.97] mapped 512508 sequences
[M::worker_pipeline::302.653*0.97] mapped 510853 sequences
[M::worker_pipeline::304.409*0.97] mapped 511265 sequences
[M::worker_pipeline::306.176*0.97] mapped 511521 sequences
[M::worker_pipeline::307.924*0.97] mapped 512573 sequences
[M::worker_pipeline::309.703*0.97] mapped 514116 sequences
[M::worker_pipeline::311.504*0.97] mapped 514010 sequences
[M::worker_pipeline::313.248*0.97] mapped 516769 sequences
[M::worker_pipeline::315.025*0.97] mapped 513754 sequences
[M::worker_pipeline::316.763*0.97] mapped 511200 sequences
[M::worker_pipeline::318.533*0.97] mapped 511157 sequences
[M::worker_pipeline::320.276*0.97] mapped 511666 sequences
[M::worker_pipeline::322.058*0.97] mapped 515208 sequences
[M::worker_pipeline::323.828*0.97] mapped 515158 sequences
[M::worker_pipeline::325.573*0.97] mapped 513626 sequences
[M::worker_pipeline::327.350*0.97] mapped 512264 sequences
[M::worker_pipeline::329.101*0.97] mapped 511815 sequences
[M::worker_pipeline::330.827*0.97] mapped 511528 sequences
[M::worker_pipeline::332.581*0.97] mapped 511434 sequences
[M::worker_pipeline::334.312*0.97] mapped 511704 sequences
[M::worker_pipeline::336.079*0.97] mapped 511167 sequences
[M::worker_pipeline::337.827*0.97] mapped 512370 sequences
[M::worker_pipeline::339.585*0.97] mapped 514912 sequences
[M::worker_pipeline::341.365*0.97] mapped 516990 sequences
[M::worker_pipeline::343.116*0.97] mapped 515917 sequences
[M::worker_pipeline::344.924*0.97] mapped 518194 sequences
[M::worker_pipeline::346.738*0.97] mapped 518417 sequences
[M::worker_pipeline::348.568*0.97] mapped 520019 sequences
[M::worker_pipeline::350.422*0.97] mapped 521983 sequences
[M::worker_pipeline::352.591*0.97] mapped 520972 sequences
[M::worker_pipeline::354.410*0.97] mapped 520271 sequences
[M::worker_pipeline::356.262*0.97] mapped 521353 sequences
[M::worker_pipeline::358.135*0.97] mapped 519928 sequences
[M::worker_pipeline::359.945*0.97] mapped 518871 sequences
[M::worker_pipeline::361.721*0.97] mapped 519452 sequences
[M::worker_pipeline::363.502*0.97] mapped 520467 sequences
[M::worker_pipeline::365.335*0.97] mapped 520675 sequences
[M::worker_pipeline::367.173*0.97] mapped 518313 sequences
[M::worker_pipeline::368.964*0.97] mapped 516972 sequences
[M::worker_pipeline::370.783*0.97] mapped 515779 sequences
[M::worker_pipeline::372.569*0.97] mapped 515232 sequences
[M::worker_pipeline::374.405*0.97] mapped 514654 sequences
[M::worker_pipeline::376.164*0.97] mapped 513907 sequences
[M::worker_pipeline::377.975*0.97] mapped 513877 sequences
[M::worker_pipeline::379.774*0.97] mapped 514035 sequences
[M::worker_pipeline::381.583*0.97] mapped 512722 sequences
[M::worker_pipeline::383.490*0.97] mapped 512861 sequences
[M::worker_pipeline::385.299*0.97] mapped 512840 sequences
[M::worker_pipeline::387.102*0.97] mapped 512752 sequences
[M::worker_pipeline::388.890*0.97] mapped 512821 sequences
[M::worker_pipeline::390.695*0.97] mapped 512872 sequences
[M::worker_pipeline::392.478*0.97] mapped 511842 sequences
[M::worker_pipeline::394.250*0.97] mapped 511604 sequences
[M::worker_pipeline::396.005*0.97] mapped 512072 sequences
[M::worker_pipeline::397.818*0.97] mapped 512090 sequences
[M::worker_pipeline::399.611*0.97] mapped 512837 sequences
[M::worker_pipeline::401.399*0.97] mapped 512286 sequences
[M::worker_pipeline::403.141*0.97] mapped 514674 sequences
[M::worker_pipeline::404.982*0.97] mapped 517964 sequences
[M::worker_pipeline::406.838*0.97] mapped 517415 sequences
[M::worker_pipeline::408.614*0.97] mapped 515824 sequences
[M::worker_pipeline::410.385*0.97] mapped 512960 sequences
[M::worker_pipeline::412.109*0.97] mapped 511369 sequences
[M::worker_pipeline::413.882*0.97] mapped 512885 sequences
[M::worker_pipeline::415.674*0.97] mapped 513859 sequences
[M::worker_pipeline::417.473*0.97] mapped 515646 sequences
[M::worker_pipeline::419.266*0.97] mapped 513872 sequences
[M::worker_pipeline::421.086*0.97] mapped 514231 sequences
[M::worker_pipeline::422.911*0.97] mapped 512947 sequences
[M::worker_pipeline::424.687*0.97] mapped 512771 sequences
[M::worker_pipeline::426.463*0.97] mapped 512734 sequences
[M::worker_pipeline::428.235*0.97] mapped 513911 sequences
[M::worker_pipeline::430.046*0.97] mapped 513197 sequences
[M::worker_pipeline::431.816*0.97] mapped 512591 sequences
[M::worker_pipeline::433.595*0.97] mapped 512250 sequences
[M::worker_pipeline::435.533*0.97] mapped 512331 sequences
[M::worker_pipeline::437.316*0.97] mapped 512561 sequences
[M::worker_pipeline::439.141*0.97] mapped 511958 sequences
[M::worker_pipeline::440.896*0.97] mapped 511517 sequences
[M::worker_pipeline::442.700*0.97] mapped 511811 sequences
[M::worker_pipeline::444.454*0.97] mapped 513217 sequences
[M::worker_pipeline::446.252*0.97] mapped 516621 sequences
[M::worker_pipeline::448.022*0.97] mapped 517623 sequences
[M::worker_pipeline::449.778*0.97] mapped 514714 sequences
[M::worker_pipeline::451.579*0.97] mapped 518677 sequences
[M::worker_pipeline::453.383*0.97] mapped 513470 sequences
[M::worker_pipeline::455.289*0.97] mapped 522592 sequences
[M::worker_pipeline::457.207*0.97] mapped 524325 sequences
[M::worker_pipeline::459.131*0.97] mapped 523367 sequences
[M::worker_pipeline::461.043*0.97] mapped 523113 sequences
[M::worker_pipeline::462.955*0.97] mapped 524237 sequences
[M::worker_pipeline::464.864*0.97] mapped 522087 sequences
[M::worker_pipeline::466.782*0.97] mapped 521951 sequences
[M::worker_pipeline::468.650*0.97] mapped 523331 sequences
[M::worker_pipeline::470.519*0.97] mapped 524214 sequences
[M::worker_pipeline::472.427*0.97] mapped 521726 sequences
[M::worker_pipeline::474.301*0.97] mapped 520853 sequences
[M::worker_pipeline::475.989*0.97] mapped 722962 sequences
[M::worker_pipeline::477.386*0.97] mapped 1004995 sequences
[M::worker_pipeline::478.786*0.97] mapped 1007197 sequences
[M::worker_pipeline::480.246*0.97] mapped 904227 sequences
[M::worker_pipeline::481.814*0.97] mapped 516822 sequences
[M::worker_pipeline::483.425*0.97] mapped 516976 sequences
[M::worker_pipeline::485.016*0.97] mapped 514873 sequences
[M::worker_pipeline::486.649*0.97] mapped 512609 sequences
[M::worker_pipeline::488.270*0.97] mapped 512251 sequences
[M::worker_pipeline::489.907*0.97] mapped 514364 sequences
[M::worker_pipeline::491.502*0.97] mapped 513354 sequences
[M::worker_pipeline::493.115*0.97] mapped 513445 sequences
[M::worker_pipeline::494.694*0.97] mapped 513701 sequences
[M::worker_pipeline::496.285*0.97] mapped 515148 sequences
[M::worker_pipeline::497.876*0.97] mapped 519023 sequences
[M::worker_pipeline::499.454*0.97] mapped 518207 sequences
[M::worker_pipeline::501.060*0.97] mapped 514846 sequences
[M::worker_pipeline::502.725*0.97] mapped 513388 sequences
[M::worker_pipeline::504.353*0.97] mapped 512555 sequences
[M::worker_pipeline::505.944*0.97] mapped 513730 sequences
[M::worker_pipeline::507.573*0.97] mapped 513463 sequences
[M::worker_pipeline::509.199*0.97] mapped 515114 sequences
[M::worker_pipeline::510.828*0.97] mapped 515164 sequences
[M::worker_pipeline::512.435*0.97] mapped 514705 sequences
[M::worker_pipeline::514.072*0.97] mapped 513187 sequences
[M::worker_pipeline::515.855*0.97] mapped 512073 sequences
[M::worker_pipeline::517.710*0.97] mapped 513179 sequences
[M::worker_pipeline::519.548*0.97] mapped 513692 sequences
[M::worker_pipeline::521.514*0.97] mapped 513132 sequences
[M::worker_pipeline::523.355*0.97] mapped 512816 sequences
[M::worker_pipeline::525.241*0.97] mapped 511879 sequences
[M::worker_pipeline::527.073*0.97] mapped 512005 sequences
[M::worker_pipeline::528.931*0.97] mapped 512210 sequences
[M::worker_pipeline::530.618*0.97] mapped 760714 sequences
[M::worker_pipeline::532.041*0.97] mapped 1003159 sequences
[M::worker_pipeline::533.476*0.97] mapped 1005513 sequences
[M::worker_pipeline::534.877*0.97] mapped 1005156 sequences
[M::worker_pipeline::536.699*0.97] mapped 544129 sequences
[M::worker_pipeline::538.553*0.97] mapped 520670 sequences
[M::worker_pipeline::540.400*0.97] mapped 519407 sequences
[M::worker_pipeline::542.265*0.97] mapped 518624 sequences
[M::worker_pipeline::544.107*0.97] mapped 520233 sequences
[M::worker_pipeline::545.967*0.97] mapped 518556 sequences
[M::worker_pipeline::547.769*0.97] mapped 517308 sequences
[M::worker_pipeline::549.586*0.97] mapped 518439 sequences
[M::worker_pipeline::551.377*0.97] mapped 520452 sequences
[M::worker_pipeline::553.204*0.97] mapped 519388 sequences
[M::worker_pipeline::554.980*0.97] mapped 517808 sequences
[M::worker_pipeline::556.779*0.97] mapped 516142 sequences
[M::worker_pipeline::558.600*0.97] mapped 514890 sequences
[M::worker_pipeline::560.433*0.97] mapped 515965 sequences
[M::worker_pipeline::562.269*0.97] mapped 515252 sequences
[M::worker_pipeline::564.089*0.97] mapped 514997 sequences
[M::worker_pipeline::565.899*0.97] mapped 515437 sequences
[M::worker_pipeline::567.723*0.97] mapped 514286 sequences
[M::worker_pipeline::569.515*0.97] mapped 513929 sequences
[M::worker_pipeline::571.326*0.97] mapped 513789 sequences
[M::worker_pipeline::573.137*0.97] mapped 514102 sequences
[M::worker_pipeline::574.975*0.97] mapped 513340 sequences
[M::worker_pipeline::576.794*0.97] mapped 511847 sequences
[M::worker_pipeline::578.600*0.97] mapped 510489 sequences
[M::worker_pipeline::580.388*0.97] mapped 511514 sequences
[M::worker_pipeline::582.233*0.97] mapped 512043 sequences
[M::worker_pipeline::583.999*0.97] mapped 512310 sequences
[M::worker_pipeline::585.756*0.97] mapped 513010 sequences
[M::worker_pipeline::587.639*0.97] mapped 513494 sequences
[M::worker_pipeline::589.392*0.97] mapped 516020 sequences
[M::worker_pipeline::591.193*0.97] mapped 514940 sequences
[M::worker_pipeline::592.956*0.97] mapped 512505 sequences
[M::worker_pipeline::594.737*0.97] mapped 512080 sequences
[M::worker_pipeline::596.546*0.97] mapped 512803 sequences
[M::worker_pipeline::598.357*0.97] mapped 512409 sequences
[M::worker_pipeline::600.131*0.97] mapped 513315 sequences
[M::worker_pipeline::601.928*0.97] mapped 513816 sequences
[M::worker_pipeline::603.760*0.97] mapped 516286 sequences
[M::worker_pipeline::605.534*0.97] mapped 516095 sequences
[M::worker_pipeline::607.402*0.97] mapped 513160 sequences
[M::worker_pipeline::609.172*0.97] mapped 511900 sequences
[M::worker_pipeline::610.939*0.97] mapped 512600 sequences
[M::worker_pipeline::613.054*0.97] mapped 513632 sequences
[M::worker_pipeline::614.818*0.97] mapped 514230 sequences
[M::worker_pipeline::616.579*0.97] mapped 512770 sequences
[M::worker_pipeline::618.355*0.97] mapped 513177 sequences
[M::worker_pipeline::620.128*0.97] mapped 513206 sequences
[M::worker_pipeline::621.892*0.97] mapped 512684 sequences
[M::worker_pipeline::623.656*0.97] mapped 512833 sequences
[M::worker_pipeline::625.452*0.97] mapped 512112 sequences
[M::worker_pipeline::627.202*0.97] mapped 513086 sequences
[M::worker_pipeline::628.974*0.97] mapped 512676 sequences
[M::worker_pipeline::630.784*0.97] mapped 513798 sequences
[M::worker_pipeline::632.651*0.97] mapped 517488 sequences
[M::worker_pipeline::634.442*0.97] mapped 520588 sequences
[M::worker_pipeline::636.279*0.97] mapped 518900 sequences
[M::worker_pipeline::638.094*0.97] mapped 521136 sequences
[M::worker_pipeline::639.570*0.97] mapped 423343 sequences
[M::main] Version: 2.26-r1175
[M::main] CMD: minimap2 -ax sr -t 1 -2 --sam-hit-only --secondary=yes /home/arvidg/Metalign/tmp_reads/custom/cmashed_db.fna /home/arvidg/TARA-Ocean_reads/ERR1700889_1.fastq
[M::main] Real time: 639.627 sec; CPU: 619.950 sec; Peak RSS: 6.924 GB
