[M::mm_idx_gen::26.554*0.96] collected minimizers
[M::mm_idx_gen::36.696*0.97] sorted minimizers
[M::main::36.697*0.97] loaded/built the index for 13665 target sequence(s)
[M::mm_mapopt_update::36.697*0.97] mid_occ = 1000
[M::worker_pipeline::778.041*1.00] mapped 333334 sequences
[M::worker_pipeline::785.126*1.00] mapped 333334 sequences
[M::worker_pipeline::792.155*1.00] mapped 333334 sequences
[M::worker_pipeline::799.077*1.00] mapped 333334 sequences
[M::worker_pipeline::806.046*1.00] mapped 333334 sequences
[M::worker_pipeline::813.020*1.00] mapped 333334 sequences
[M::worker_pipeline::820.025*1.00] mapped 333334 sequences
[M::worker_pipeline::827.163*1.00] mapped 333334 sequences
[M::worker_pipeline::834.189*1.00] mapped 333334 sequences
[M::worker_pipeline::841.249*1.00] mapped 333334 sequences
[M::worker_pipeline::848.261*1.00] mapped 333334 sequences
[M::worker_pipeline::855.279*1.00] mapped 333334 sequences
[M::worker_pipeline::862.260*1.00] mapped 333334 sequences
[M::worker_pipeline::869.232*1.00] mapped 333334 sequences
[M::worker_pipeline::876.258*1.00] mapped 333334 sequences
[M::worker_pipeline::883.263*1.00] mapped 333334 sequences
[M::worker_pipeline::890.339*1.00] mapped 333334 sequences
[M::worker_pipeline::897.328*1.00] mapped 333334 sequences
[M::worker_pipeline::904.402*1.00] mapped 333334 sequences
[M::worker_pipeline::911.468*1.00] mapped 333334 sequences
[M::worker_pipeline::918.463*1.00] mapped 333334 sequences
[M::worker_pipeline::925.500*1.00] mapped 333334 sequences
[M::worker_pipeline::932.524*1.00] mapped 333334 sequences
[M::worker_pipeline::939.500*1.00] mapped 333334 sequences
[M::worker_pipeline::946.502*1.00] mapped 333334 sequences
[M::worker_pipeline::953.531*1.00] mapped 333334 sequences
[M::worker_pipeline::960.579*1.00] mapped 333334 sequences
[M::worker_pipeline::967.613*1.00] mapped 333334 sequences
[M::worker_pipeline::974.612*1.00] mapped 333334 sequences
[M::worker_pipeline::981.608*1.00] mapped 333334 sequences
[M::worker_pipeline::988.522*1.00] mapped 333334 sequences
[M::worker_pipeline::995.585*1.00] mapped 333334 sequences
[M::worker_pipeline::1002.591*1.00] mapped 333334 sequences
[M::worker_pipeline::1009.646*1.00] mapped 333334 sequences
[M::worker_pipeline::1016.702*1.00] mapped 333334 sequences
[M::worker_pipeline::1023.678*1.00] mapped 333334 sequences
[M::worker_pipeline::1030.667*1.00] mapped 333334 sequences
[M::worker_pipeline::1037.740*1.00] mapped 333334 sequences
[M::worker_pipeline::1044.809*1.00] mapped 333334 sequences
[M::worker_pipeline::1051.817*1.00] mapped 333334 sequences
[M::worker_pipeline::1058.780*1.00] mapped 333334 sequences
[M::worker_pipeline::1065.737*1.00] mapped 333334 sequences
[M::worker_pipeline::1072.782*1.00] mapped 333334 sequences
[M::worker_pipeline::1079.838*1.00] mapped 333334 sequences
[M::worker_pipeline::1086.907*1.00] mapped 333334 sequences
[M::worker_pipeline::1093.928*1.00] mapped 333334 sequences
[M::worker_pipeline::1100.969*1.00] mapped 333334 sequences
[M::worker_pipeline::1107.991*1.00] mapped 333334 sequences
[M::worker_pipeline::1114.995*1.00] mapped 333334 sequences
[M::worker_pipeline::1122.029*1.00] mapped 333334 sequences
[M::worker_pipeline::1128.995*1.00] mapped 333334 sequences
[M::worker_pipeline::1136.037*1.00] mapped 333334 sequences
[M::worker_pipeline::1143.007*1.00] mapped 333334 sequences
[M::worker_pipeline::1150.075*1.00] mapped 333334 sequences
[M::worker_pipeline::1157.149*1.00] mapped 333334 sequences
[M::worker_pipeline::1164.154*1.00] mapped 333334 sequences
[M::worker_pipeline::1171.183*1.00] mapped 333334 sequences
[M::worker_pipeline::1178.163*1.00] mapped 333334 sequences
[M::worker_pipeline::1185.214*1.00] mapped 333334 sequences
[M::worker_pipeline::1192.162*1.00] mapped 333334 sequences
[M::worker_pipeline::1199.155*1.00] mapped 333334 sequences
[M::worker_pipeline::1206.181*1.00] mapped 333334 sequences
[M::worker_pipeline::1213.199*1.00] mapped 333334 sequences
[M::worker_pipeline::1220.184*1.00] mapped 333334 sequences
[M::worker_pipeline::1227.225*1.00] mapped 333334 sequences
[M::worker_pipeline::1234.307*1.00] mapped 333334 sequences
[M::worker_pipeline::1241.297*1.00] mapped 333334 sequences
[M::worker_pipeline::1248.315*1.00] mapped 333334 sequences
[M::worker_pipeline::1255.260*1.00] mapped 333334 sequences
[M::worker_pipeline::1262.271*1.00] mapped 333334 sequences
[M::worker_pipeline::1269.318*1.00] mapped 333334 sequences
[M::worker_pipeline::1276.347*1.00] mapped 333334 sequences
[M::worker_pipeline::1283.332*1.00] mapped 333334 sequences
[M::worker_pipeline::1290.325*1.00] mapped 333334 sequences
[M::worker_pipeline::1297.366*1.00] mapped 333334 sequences
[M::worker_pipeline::1304.376*1.00] mapped 333334 sequences
[M::worker_pipeline::1311.353*1.00] mapped 333334 sequences
[M::worker_pipeline::1318.314*1.00] mapped 333334 sequences
[M::worker_pipeline::1325.362*1.00] mapped 333334 sequences
[M::worker_pipeline::1332.347*1.00] mapped 333334 sequences
[M::worker_pipeline::1339.343*1.00] mapped 333334 sequences
[M::worker_pipeline::1346.368*1.00] mapped 333334 sequences
[M::worker_pipeline::1353.411*1.00] mapped 333334 sequences
[M::worker_pipeline::1360.458*1.00] mapped 333334 sequences
[M::worker_pipeline::1367.509*1.00] mapped 333334 sequences
[M::worker_pipeline::1374.593*1.00] mapped 333334 sequences
[M::worker_pipeline::1381.599*1.00] mapped 333334 sequences
[M::worker_pipeline::1388.631*1.00] mapped 333334 sequences
[M::worker_pipeline::1395.684*1.00] mapped 333334 sequences
[M::worker_pipeline::1402.810*1.00] mapped 333334 sequences
[M::worker_pipeline::1409.862*1.00] mapped 333334 sequences
[M::worker_pipeline::1416.892*1.00] mapped 333334 sequences
[M::worker_pipeline::1423.925*1.00] mapped 333334 sequences
[M::worker_pipeline::1430.945*1.00] mapped 333334 sequences
[M::worker_pipeline::1438.010*1.00] mapped 333334 sequences
[M::worker_pipeline::1444.973*1.00] mapped 333334 sequences
[M::worker_pipeline::1452.025*1.00] mapped 333334 sequences
[M::worker_pipeline::1459.020*1.00] mapped 333334 sequences
[M::worker_pipeline::1466.051*1.00] mapped 333334 sequences
[M::worker_pipeline::1473.007*1.00] mapped 333334 sequences
[M::worker_pipeline::1480.002*1.00] mapped 333334 sequences
[M::worker_pipeline::1487.001*1.00] mapped 333334 sequences
[M::worker_pipeline::1494.022*1.00] mapped 333334 sequences
[M::worker_pipeline::1501.023*1.00] mapped 333334 sequences
[M::worker_pipeline::1508.000*1.00] mapped 333334 sequences
[M::worker_pipeline::1514.996*1.00] mapped 333334 sequences
[M::worker_pipeline::1522.037*1.00] mapped 333334 sequences
[M::worker_pipeline::1528.996*1.00] mapped 333334 sequences
[M::worker_pipeline::1535.988*1.00] mapped 333334 sequences
[M::worker_pipeline::1543.072*1.00] mapped 333334 sequences
[M::worker_pipeline::1550.126*1.00] mapped 333334 sequences
[M::worker_pipeline::1557.124*1.00] mapped 333334 sequences
[M::worker_pipeline::1564.113*1.00] mapped 333334 sequences
[M::worker_pipeline::1571.163*1.00] mapped 333334 sequences
[M::worker_pipeline::1578.149*1.00] mapped 333334 sequences
[M::worker_pipeline::1585.179*1.00] mapped 333334 sequences
[M::worker_pipeline::1592.180*1.00] mapped 333334 sequences
[M::worker_pipeline::1599.225*1.00] mapped 333334 sequences
[M::worker_pipeline::1606.283*1.00] mapped 333334 sequences
[M::worker_pipeline::1613.303*1.00] mapped 333334 sequences
[M::worker_pipeline::1620.282*1.00] mapped 333334 sequences
[M::worker_pipeline::1627.328*1.00] mapped 333334 sequences
[M::worker_pipeline::1634.347*1.00] mapped 333334 sequences
[M::worker_pipeline::1641.302*1.00] mapped 333334 sequences
[M::worker_pipeline::1648.277*1.00] mapped 333334 sequences
[M::worker_pipeline::1655.317*1.00] mapped 333334 sequences
[M::worker_pipeline::1662.349*1.00] mapped 333334 sequences
[M::worker_pipeline::1669.350*1.00] mapped 333334 sequences
[M::worker_pipeline::1676.334*1.00] mapped 333334 sequences
[M::worker_pipeline::1683.371*1.00] mapped 333334 sequences
[M::worker_pipeline::1690.351*1.00] mapped 333334 sequences
[M::worker_pipeline::1697.352*1.00] mapped 333334 sequences
[M::worker_pipeline::1704.290*1.00] mapped 333334 sequences
[M::worker_pipeline::1711.304*1.00] mapped 333334 sequences
[M::worker_pipeline::1718.338*1.00] mapped 333334 sequences
[M::worker_pipeline::1725.444*1.00] mapped 333334 sequences
[M::worker_pipeline::1732.433*1.00] mapped 333334 sequences
[M::worker_pipeline::1739.465*1.00] mapped 333334 sequences
[M::worker_pipeline::1746.538*1.00] mapped 333334 sequences
[M::worker_pipeline::1753.571*1.00] mapped 333334 sequences
[M::worker_pipeline::1760.522*1.00] mapped 333334 sequences
[M::worker_pipeline::1767.579*1.00] mapped 333334 sequences
[M::worker_pipeline::1774.589*1.00] mapped 333334 sequences
[M::worker_pipeline::1781.577*1.00] mapped 333334 sequences
[M::worker_pipeline::1788.577*1.00] mapped 333334 sequences
[M::worker_pipeline::1795.637*1.00] mapped 333334 sequences
[M::worker_pipeline::1802.696*1.00] mapped 333334 sequences
[M::worker_pipeline::1809.712*1.00] mapped 333334 sequences
[M::worker_pipeline::1816.688*1.00] mapped 333334 sequences
[M::worker_pipeline::1823.700*1.00] mapped 333334 sequences
[M::worker_pipeline::1830.764*1.00] mapped 333334 sequences
[M::worker_pipeline::1837.799*1.00] mapped 333334 sequences
[M::worker_pipeline::1844.845*1.00] mapped 333334 sequences
[M::worker_pipeline::1851.872*1.00] mapped 333334 sequences
[M::worker_pipeline::1858.912*1.00] mapped 333334 sequences
[M::worker_pipeline::1865.938*1.00] mapped 333334 sequences
[M::worker_pipeline::1872.972*1.00] mapped 333334 sequences
[M::worker_pipeline::1879.946*1.00] mapped 333334 sequences
[M::worker_pipeline::1886.982*1.00] mapped 333334 sequences
[M::worker_pipeline::1893.938*1.00] mapped 333334 sequences
[M::worker_pipeline::1900.948*1.00] mapped 333334 sequences
[M::worker_pipeline::1908.033*1.00] mapped 333334 sequences
[M::worker_pipeline::1915.080*1.00] mapped 333334 sequences
[M::worker_pipeline::1922.112*1.00] mapped 333334 sequences
[M::worker_pipeline::1929.203*1.00] mapped 333334 sequences
[M::worker_pipeline::1936.206*1.00] mapped 333334 sequences
[M::worker_pipeline::1943.240*1.00] mapped 333334 sequences
[M::worker_pipeline::1950.241*1.00] mapped 333334 sequences
[M::worker_pipeline::1957.195*1.00] mapped 333334 sequences
[M::worker_pipeline::1964.251*1.00] mapped 333334 sequences
[M::worker_pipeline::1971.345*1.00] mapped 333334 sequences
[M::worker_pipeline::1978.346*1.00] mapped 333334 sequences
[M::worker_pipeline::1985.355*1.00] mapped 333334 sequences
[M::worker_pipeline::1992.360*1.00] mapped 333334 sequences
[M::worker_pipeline::1999.389*1.00] mapped 333334 sequences
[M::worker_pipeline::2006.427*1.00] mapped 333334 sequences
[M::worker_pipeline::2013.406*1.00] mapped 333334 sequences
[M::worker_pipeline::2020.435*1.00] mapped 333334 sequences
[M::worker_pipeline::2027.459*1.00] mapped 333334 sequences
[M::worker_pipeline::2034.515*1.00] mapped 333334 sequences
[M::worker_pipeline::2041.555*1.00] mapped 333334 sequences
[M::worker_pipeline::2048.628*1.00] mapped 333334 sequences
[M::worker_pipeline::2055.740*1.00] mapped 333334 sequences
[M::worker_pipeline::2062.778*1.00] mapped 333334 sequences
[M::worker_pipeline::2069.772*1.00] mapped 333334 sequences
[M::worker_pipeline::2076.752*1.00] mapped 333334 sequences
[M::worker_pipeline::2083.706*1.00] mapped 333334 sequences
[M::worker_pipeline::2090.743*1.00] mapped 333334 sequences
[M::worker_pipeline::2097.740*1.00] mapped 333334 sequences
[M::worker_pipeline::2104.803*1.00] mapped 333334 sequences
[M::worker_pipeline::2111.858*1.00] mapped 333334 sequences
[M::worker_pipeline::2118.948*1.00] mapped 333334 sequences
[M::worker_pipeline::2125.986*1.00] mapped 333334 sequences
[M::worker_pipeline::2133.044*1.00] mapped 333334 sequences
[M::worker_pipeline::2140.081*1.00] mapped 333334 sequences
[M::worker_pipeline::2147.059*1.00] mapped 333334 sequences
[M::worker_pipeline::2150.099*1.00] mapped 145004 sequences
[M::main] Version: 2.26-r1175
[M::main] CMD: minimap2 -ax sr -t 1 -2 --sam-hit-only --secondary=yes /home/arvidg/Metalign/tmp_reads/custom/cmashed_db.fna /home/arvidg/CAMI_Dataset/RH_S001__insert_270.fq
[M::main] Real time: 2150.147 sec; CPU: 2148.961 sec; Peak RSS: 6.924 GB
