[M::mm_idx_gen::32.127*0.96] collected minimizers
[M::mm_idx_gen::44.783*0.97] sorted minimizers
[M::main::44.785*0.97] loaded/built the index for 13665 target sequence(s)
[M::mm_mapopt_update::44.785*0.97] mid_occ = 1000
[M::worker_pipeline::332.421*0.99] mapped 333334 sequences
[M::worker_pipeline::336.784*0.99] mapped 333334 sequences
[M::worker_pipeline::341.156*0.99] mapped 333334 sequences
[M::worker_pipeline::345.481*0.99] mapped 333334 sequences
[M::worker_pipeline::349.790*0.99] mapped 333334 sequences
[M::worker_pipeline::354.142*0.99] mapped 333334 sequences
[M::worker_pipeline::358.451*0.99] mapped 333334 sequences
[M::worker_pipeline::362.812*0.99] mapped 333334 sequences
[M::worker_pipeline::367.174*0.99] mapped 333334 sequences
[M::worker_pipeline::371.496*0.99] mapped 333334 sequences
[M::worker_pipeline::375.791*0.99] mapped 333334 sequences
[M::worker_pipeline::380.080*0.99] mapped 333334 sequences
[M::worker_pipeline::385.602*0.99] mapped 333334 sequences
[M::worker_pipeline::389.965*0.99] mapped 333334 sequences
[M::worker_pipeline::394.333*0.99] mapped 333334 sequences
[M::worker_pipeline::398.696*0.99] mapped 333334 sequences
[M::worker_pipeline::403.197*0.99] mapped 333334 sequences
[M::worker_pipeline::407.568*0.99] mapped 333334 sequences
[M::worker_pipeline::411.906*0.99] mapped 333334 sequences
[M::worker_pipeline::416.196*0.99] mapped 333334 sequences
[M::worker_pipeline::420.517*0.99] mapped 333334 sequences
[M::worker_pipeline::424.822*0.99] mapped 333334 sequences
[M::worker_pipeline::429.197*0.99] mapped 333334 sequences
[M::worker_pipeline::433.542*0.99] mapped 333334 sequences
[M::worker_pipeline::437.865*0.99] mapped 333334 sequences
[M::worker_pipeline::442.318*0.99] mapped 333334 sequences
[M::worker_pipeline::446.701*0.99] mapped 333334 sequences
[M::worker_pipeline::451.074*0.99] mapped 333334 sequences
[M::worker_pipeline::455.419*0.99] mapped 333334 sequences
[M::worker_pipeline::459.755*0.99] mapped 333334 sequences
[M::worker_pipeline::464.106*0.99] mapped 333334 sequences
[M::worker_pipeline::468.449*0.99] mapped 333334 sequences
[M::worker_pipeline::472.784*0.99] mapped 333334 sequences
[M::worker_pipeline::477.133*0.99] mapped 333334 sequences
[M::worker_pipeline::481.451*0.99] mapped 333334 sequences
[M::worker_pipeline::485.850*0.99] mapped 333334 sequences
[M::worker_pipeline::490.221*0.99] mapped 333334 sequences
[M::worker_pipeline::494.608*0.99] mapped 333334 sequences
[M::worker_pipeline::498.939*0.99] mapped 333334 sequences
[M::worker_pipeline::503.296*0.99] mapped 333334 sequences
[M::worker_pipeline::507.617*0.99] mapped 333334 sequences
[M::worker_pipeline::511.957*0.99] mapped 333334 sequences
[M::worker_pipeline::516.373*0.99] mapped 333334 sequences
[M::worker_pipeline::520.697*0.99] mapped 333334 sequences
[M::worker_pipeline::525.007*0.99] mapped 333334 sequences
[M::worker_pipeline::529.291*0.99] mapped 333334 sequences
[M::worker_pipeline::533.663*0.99] mapped 333334 sequences
[M::worker_pipeline::537.985*0.99] mapped 333334 sequences
[M::worker_pipeline::542.276*0.99] mapped 333334 sequences
[M::worker_pipeline::546.619*0.99] mapped 333334 sequences
[M::worker_pipeline::550.961*0.99] mapped 333334 sequences
[M::worker_pipeline::555.327*0.99] mapped 333334 sequences
[M::worker_pipeline::559.657*0.99] mapped 333334 sequences
[M::worker_pipeline::564.031*0.99] mapped 333334 sequences
[M::worker_pipeline::568.367*0.99] mapped 333334 sequences
[M::worker_pipeline::572.692*0.99] mapped 333334 sequences
[M::worker_pipeline::576.988*0.99] mapped 333334 sequences
[M::worker_pipeline::581.333*0.99] mapped 333334 sequences
[M::worker_pipeline::585.658*0.99] mapped 333334 sequences
[M::worker_pipeline::590.007*0.99] mapped 333334 sequences
[M::worker_pipeline::594.331*0.99] mapped 333334 sequences
[M::worker_pipeline::598.603*0.99] mapped 333334 sequences
[M::worker_pipeline::602.977*0.99] mapped 333334 sequences
[M::worker_pipeline::607.340*0.99] mapped 333334 sequences
[M::worker_pipeline::611.624*0.99] mapped 333334 sequences
[M::worker_pipeline::615.956*0.99] mapped 333334 sequences
[M::worker_pipeline::620.310*0.99] mapped 333334 sequences
[M::worker_pipeline::624.685*0.99] mapped 333334 sequences
[M::worker_pipeline::629.079*0.99] mapped 333334 sequences
[M::worker_pipeline::633.466*0.99] mapped 333334 sequences
[M::worker_pipeline::637.814*0.99] mapped 333334 sequences
[M::worker_pipeline::642.191*0.99] mapped 333334 sequences
[M::worker_pipeline::646.528*0.99] mapped 333334 sequences
[M::worker_pipeline::650.855*0.99] mapped 333334 sequences
[M::worker_pipeline::655.127*0.99] mapped 333334 sequences
[M::worker_pipeline::659.469*0.99] mapped 333334 sequences
[M::worker_pipeline::663.827*0.99] mapped 333334 sequences
[M::worker_pipeline::668.146*0.99] mapped 333334 sequences
[M::worker_pipeline::672.504*0.99] mapped 333334 sequences
[M::worker_pipeline::676.893*0.99] mapped 333334 sequences
[M::worker_pipeline::681.386*0.99] mapped 333334 sequences
[M::worker_pipeline::685.731*0.99] mapped 333334 sequences
[M::worker_pipeline::690.110*0.99] mapped 333334 sequences
[M::worker_pipeline::694.451*0.99] mapped 333334 sequences
[M::worker_pipeline::698.813*0.99] mapped 333334 sequences
[M::worker_pipeline::703.225*0.99] mapped 333334 sequences
[M::worker_pipeline::707.574*0.99] mapped 333334 sequences
[M::worker_pipeline::711.969*0.99] mapped 333334 sequences
[M::worker_pipeline::716.261*0.99] mapped 333334 sequences
[M::worker_pipeline::720.570*0.99] mapped 333334 sequences
[M::worker_pipeline::724.865*0.99] mapped 333334 sequences
[M::worker_pipeline::729.164*0.99] mapped 333334 sequences
[M::worker_pipeline::733.554*0.99] mapped 333334 sequences
[M::worker_pipeline::737.914*0.99] mapped 333334 sequences
[M::worker_pipeline::742.266*0.99] mapped 333334 sequences
[M::worker_pipeline::746.655*0.99] mapped 333334 sequences
[M::worker_pipeline::750.973*0.99] mapped 333334 sequences
[M::worker_pipeline::755.330*0.99] mapped 333334 sequences
[M::worker_pipeline::759.672*0.99] mapped 333334 sequences
[M::worker_pipeline::764.049*0.99] mapped 333334 sequences
[M::worker_pipeline::768.363*0.99] mapped 333334 sequences
[M::worker_pipeline::772.644*0.99] mapped 333334 sequences
[M::worker_pipeline::776.953*0.99] mapped 333334 sequences
[M::worker_pipeline::781.210*0.99] mapped 333334 sequences
[M::worker_pipeline::785.529*0.99] mapped 333334 sequences
[M::worker_pipeline::789.866*0.99] mapped 333334 sequences
[M::worker_pipeline::794.197*0.99] mapped 333334 sequences
[M::worker_pipeline::798.573*0.99] mapped 333334 sequences
[M::worker_pipeline::802.922*0.99] mapped 333334 sequences
[M::worker_pipeline::807.221*0.99] mapped 333334 sequences
[M::worker_pipeline::811.561*0.99] mapped 333334 sequences
[M::worker_pipeline::815.918*0.99] mapped 333334 sequences
[M::worker_pipeline::820.274*0.99] mapped 333334 sequences
[M::worker_pipeline::824.668*0.99] mapped 333334 sequences
[M::worker_pipeline::828.972*0.99] mapped 333334 sequences
[M::worker_pipeline::833.270*0.99] mapped 333334 sequences
[M::worker_pipeline::837.641*0.99] mapped 333334 sequences
[M::worker_pipeline::841.941*0.99] mapped 333334 sequences
[M::worker_pipeline::846.205*0.99] mapped 333334 sequences
[M::worker_pipeline::850.486*0.99] mapped 333334 sequences
[M::worker_pipeline::854.879*0.99] mapped 333334 sequences
[M::worker_pipeline::859.195*0.99] mapped 333334 sequences
[M::worker_pipeline::863.536*0.99] mapped 333334 sequences
[M::worker_pipeline::867.840*0.99] mapped 333334 sequences
[M::worker_pipeline::872.176*0.99] mapped 333334 sequences
[M::worker_pipeline::876.430*0.99] mapped 333334 sequences
[M::worker_pipeline::880.725*0.99] mapped 333334 sequences
[M::worker_pipeline::885.109*0.99] mapped 333334 sequences
[M::worker_pipeline::889.448*0.99] mapped 333334 sequences
[M::worker_pipeline::893.718*0.99] mapped 333334 sequences
[M::worker_pipeline::898.065*0.99] mapped 333334 sequences
[M::worker_pipeline::902.352*0.99] mapped 333334 sequences
[M::worker_pipeline::906.656*0.99] mapped 333334 sequences
[M::worker_pipeline::910.960*0.99] mapped 333334 sequences
[M::worker_pipeline::915.247*0.99] mapped 333334 sequences
[M::worker_pipeline::919.538*0.99] mapped 333334 sequences
[M::worker_pipeline::923.839*0.99] mapped 333334 sequences
[M::worker_pipeline::928.117*0.99] mapped 333334 sequences
[M::worker_pipeline::932.460*0.99] mapped 333334 sequences
[M::worker_pipeline::936.734*0.99] mapped 333334 sequences
[M::worker_pipeline::941.030*0.99] mapped 333334 sequences
[M::worker_pipeline::945.353*0.99] mapped 333334 sequences
[M::worker_pipeline::949.696*0.99] mapped 333334 sequences
[M::worker_pipeline::954.078*0.99] mapped 333334 sequences
[M::worker_pipeline::958.345*0.99] mapped 333334 sequences
[M::worker_pipeline::962.636*0.99] mapped 333334 sequences
[M::worker_pipeline::966.924*0.99] mapped 333334 sequences
[M::worker_pipeline::971.293*0.99] mapped 333334 sequences
[M::worker_pipeline::975.633*0.99] mapped 333334 sequences
[M::worker_pipeline::979.978*0.99] mapped 333334 sequences
[M::worker_pipeline::984.346*0.99] mapped 333334 sequences
[M::worker_pipeline::988.692*0.99] mapped 333334 sequences
[M::worker_pipeline::993.047*0.99] mapped 333334 sequences
[M::worker_pipeline::997.436*0.99] mapped 333334 sequences
[M::worker_pipeline::1001.798*0.99] mapped 333334 sequences
[M::worker_pipeline::1006.232*0.99] mapped 333334 sequences
[M::worker_pipeline::1010.567*0.99] mapped 333334 sequences
[M::worker_pipeline::1014.916*0.99] mapped 333334 sequences
[M::worker_pipeline::1019.304*0.99] mapped 333334 sequences
[M::worker_pipeline::1023.645*0.99] mapped 333334 sequences
[M::worker_pipeline::1027.978*0.99] mapped 333334 sequences
[M::worker_pipeline::1032.315*0.99] mapped 333334 sequences
[M::worker_pipeline::1036.704*0.99] mapped 333334 sequences
[M::worker_pipeline::1041.007*0.99] mapped 333334 sequences
[M::worker_pipeline::1045.286*0.99] mapped 333334 sequences
[M::worker_pipeline::1049.605*0.99] mapped 333334 sequences
[M::worker_pipeline::1053.922*0.99] mapped 333334 sequences
[M::worker_pipeline::1058.282*0.99] mapped 333334 sequences
[M::worker_pipeline::1062.629*0.99] mapped 333334 sequences
[M::worker_pipeline::1066.996*0.99] mapped 333334 sequences
[M::worker_pipeline::1071.319*0.99] mapped 333334 sequences
[M::worker_pipeline::1075.623*0.99] mapped 333334 sequences
[M::worker_pipeline::1079.940*0.99] mapped 333334 sequences
[M::worker_pipeline::1084.294*0.99] mapped 333334 sequences
[M::worker_pipeline::1088.596*0.99] mapped 333334 sequences
[M::worker_pipeline::1092.854*0.99] mapped 333334 sequences
[M::worker_pipeline::1097.186*0.99] mapped 333334 sequences
[M::worker_pipeline::1101.513*0.99] mapped 333334 sequences
[M::worker_pipeline::1105.862*0.99] mapped 333334 sequences
[M::worker_pipeline::1110.201*0.99] mapped 333334 sequences
[M::worker_pipeline::1114.606*0.99] mapped 333334 sequences
[M::worker_pipeline::1118.956*0.99] mapped 333334 sequences
[M::worker_pipeline::1123.299*0.99] mapped 333334 sequences
[M::worker_pipeline::1127.642*0.99] mapped 333334 sequences
[M::worker_pipeline::1132.067*0.99] mapped 333334 sequences
[M::worker_pipeline::1136.385*0.99] mapped 333334 sequences
[M::worker_pipeline::1140.723*0.99] mapped 333334 sequences
[M::worker_pipeline::1145.054*0.99] mapped 333334 sequences
[M::worker_pipeline::1149.380*0.99] mapped 333334 sequences
[M::worker_pipeline::1153.702*0.99] mapped 333334 sequences
[M::worker_pipeline::1158.064*0.99] mapped 333334 sequences
[M::worker_pipeline::1162.462*0.99] mapped 333334 sequences
[M::worker_pipeline::1166.829*0.99] mapped 333334 sequences
[M::worker_pipeline::1171.153*0.99] mapped 333334 sequences
[M::worker_pipeline::1175.480*0.99] mapped 333334 sequences
[M::worker_pipeline::1179.770*0.99] mapped 333334 sequences
[M::worker_pipeline::1184.107*0.99] mapped 333334 sequences
[M::worker_pipeline::1188.454*0.99] mapped 333334 sequences
[M::worker_pipeline::1192.911*0.99] mapped 333334 sequences
[M::worker_pipeline::1197.242*0.99] mapped 333334 sequences
[M::worker_pipeline::1201.621*0.99] mapped 333334 sequences
[M::worker_pipeline::1205.961*0.99] mapped 333334 sequences
[M::worker_pipeline::1210.246*0.99] mapped 333334 sequences
[M::worker_pipeline::1214.604*0.99] mapped 333334 sequences
[M::worker_pipeline::1218.924*0.99] mapped 333334 sequences
[M::worker_pipeline::1223.320*0.99] mapped 333334 sequences
[M::worker_pipeline::1227.649*0.99] mapped 333334 sequences
[M::worker_pipeline::1232.017*0.99] mapped 333334 sequences
[M::worker_pipeline::1236.388*0.99] mapped 333334 sequences
[M::worker_pipeline::1240.685*0.99] mapped 333334 sequences
[M::worker_pipeline::1244.984*0.99] mapped 333334 sequences
[M::worker_pipeline::1249.259*0.99] mapped 333334 sequences
[M::worker_pipeline::1253.572*0.99] mapped 333334 sequences
[M::worker_pipeline::1257.975*0.99] mapped 333334 sequences
[M::worker_pipeline::1262.356*0.99] mapped 333334 sequences
[M::worker_pipeline::1266.673*0.99] mapped 333334 sequences
[M::worker_pipeline::1270.997*0.99] mapped 333334 sequences
[M::worker_pipeline::1275.291*0.99] mapped 333334 sequences
[M::worker_pipeline::1279.561*0.99] mapped 333334 sequences
[M::worker_pipeline::1283.984*0.99] mapped 333334 sequences
[M::worker_pipeline::1288.311*0.99] mapped 333334 sequences
[M::worker_pipeline::1292.636*0.99] mapped 333334 sequences
[M::worker_pipeline::1297.023*0.99] mapped 333334 sequences
[M::worker_pipeline::1301.353*0.99] mapped 333334 sequences
[M::worker_pipeline::1305.726*0.99] mapped 333334 sequences
[M::worker_pipeline::1310.048*0.99] mapped 333334 sequences
[M::worker_pipeline::1314.447*0.99] mapped 333334 sequences
[M::worker_pipeline::1318.768*0.99] mapped 333334 sequences
[M::worker_pipeline::1323.111*0.99] mapped 333334 sequences
[M::worker_pipeline::1327.465*0.99] mapped 333334 sequences
[M::worker_pipeline::1331.807*0.99] mapped 333334 sequences
[M::worker_pipeline::1336.060*0.99] mapped 333334 sequences
[M::worker_pipeline::1340.330*0.99] mapped 333334 sequences
[M::worker_pipeline::1344.671*0.99] mapped 333334 sequences
[M::worker_pipeline::1348.959*0.99] mapped 333334 sequences
[M::worker_pipeline::1350.694*0.99] mapped 129492 sequences
[M::main] Version: 2.26-r1175
[M::main] CMD: minimap2 -ax sr -t 1 -2 --sam-hit-only --secondary=yes /home/arvidg/Metalign/tmp_reads/custom/cmashed_db.fna /home/arvidg/CAMI_Dataset/RL_S001__insert_270.fq
[M::main] Real time: 1350.747 sec; CPU: 1339.531 sec; Peak RSS: 6.924 GB
